ticker,has_fundamentals,fundamentals_ready,missing_fundamentals_fields,source,updated_at
ESPR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.131748+00:00
ESQ,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.132124+00:00
ESS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.132499+00:00
ESTA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.132874+00:00
ETN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.133257+00:00
ETON,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.133649+00:00
ETOR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.134041+00:00
ETR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.134423+00:00
ETS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.134793+00:00
EU,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.135165+00:00
EUDA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.135533+00:00
EURK,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.135900+00:00
EVCM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.136263+00:00
EVER,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.137250+00:00
EVGN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.138007+00:00
EVGO,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.138746+00:00
EVLV,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.139427+00:00
EVOX,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.140041+00:00
EVRG,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.140490+00:00
EVTV,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.140904+00:00
EW,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.141302+00:00
EWBC,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.141685+00:00
EWTX,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.142432+00:00
EXC,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.143149+00:00
EXE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.143554+00:00
EXEL,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.144909+00:00
EXFY,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.146231+00:00
EXLS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.147168+00:00
EXOZ,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.147837+00:00
EXPD,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.148320+00:00
EXPE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.148739+00:00
EXPO,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.149133+00:00
EXR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.149525+00:00
EXTR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.149923+00:00
EXYN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.150327+00:00
EYE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.151151+00:00
EYPT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.152188+00:00
EZGO,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.153021+00:00
EZPW,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.153769+00:00
EZRA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.154259+00:00
F,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.154674+00:00
